,new_cases
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,1.0
2020-03-15,0.0
2020-03-16,5.0
2020-03-17,3.0
2020-03-18,6.0
2020-03-19,5.0
2020-03-20,2.0
2020-03-21,8.0
2020-03-22,10.0
2020-03-23,10.0
2020-03-24,8.0
2020-03-25,24.0
2020-03-26,29.0
2020-03-27,20.0
2020-03-28,37.0
2020-03-29,34.0
2020-03-30,47.0
2020-03-31,19.0
2020-04-01,65.0
2020-04-02,53.0
2020-04-03,98.0
2020-04-04,102.0
2020-04-05,68.0
2020-04-06,86.0
2020-04-07,97.0
2020-04-08,155.0
2020-04-09,169.0
2020-04-10,121.0
2020-04-11,152.0
2020-04-12,133.0
2020-04-13,79.0
2020-04-14,85.0
2020-04-15,125.0
2020-04-16,181.0
2020-04-17,86.0
2020-04-18,92.0
2020-04-19,180.0
2020-04-20,196.0
2020-04-21,162.0
2020-04-22,92.0
2020-04-23,146.0
2020-04-24,95.0
2020-04-25,159.0
2020-04-26,110.0
2020-04-27,78.0
2020-04-28,172.0
2020-04-29,120.0
2020-04-30,212.0
2020-05-01,140.0
2020-05-02,194.0
2020-05-03,233.0
2020-05-04,90.0
2020-05-05,149.0
2020-05-06,117.0
2020-05-07,126.0
2020-05-08,125.0
2020-05-09,122.0
2020-05-10,84.0
2020-05-11,76.0
2020-05-12,33.0
2020-05-13,73.0
2020-05-14,113.0
2020-05-15,61.0
2020-05-16,46.0
2020-05-17,106.0
2020-05-18,125.0
2020-05-19,68.0
2020-05-20,144.0
2020-05-21,43.0
2020-05-22,90.0
2020-05-23,56.0
2020-05-24,62.0
2020-05-25,78.0
2020-05-26,53.0
2020-05-27,48.0
2020-05-28,78.0
2020-05-29,105.0
2020-05-30,75.0
2020-05-31,83.0
2020-06-01,28.0
2020-06-02,43.0
2020-06-03,29.0
2020-06-04,39.0
2020-06-05,48.0
2020-06-06,28.0
2020-06-07,18.0
2020-06-08,18.0
2020-06-09,20.0
2020-06-10,41.0
2020-06-11,30.0
2020-06-12,20.0
2020-06-13,28.0
2020-06-14,28.0
2020-06-15,20.0
2020-06-16,10.0
2020-06-17,12.0
2020-06-18,23.0
2020-06-19,47.0
2020-06-20,26.0
2020-06-21,52.0
2020-06-22,8.0
2020-06-23,11.0
2020-06-24,12.0
2020-06-25,23.0
2020-06-26,17.0
2020-06-27,7.0
2020-06-28,7.0
2020-06-29,8.0
2020-06-30,25.0
2020-07-01,17.0
2020-07-02,17.0
2020-07-03,18.0
2020-07-04,16.0
2020-07-05,13.0
2020-07-06,5.0
2020-07-07,6.0
2020-07-08,0.0
2020-07-09,14.0
2020-07-10,8.0
2020-07-11,5.0
2020-07-12,11.0
2020-07-13,6.0
2020-07-14,12.0
2020-07-15,8.0
2020-07-16,12.0
2020-07-17,1.0
2020-07-18,16.0
2020-07-19,0.0
2020-07-20,3.0
2020-07-21,11.0
2020-07-22,19.0
2020-07-23,11.0
2020-07-24,10.0
2020-07-25,20.0
2020-07-26,18.0
2020-07-27,17.0
2020-07-28,32.0
2020-07-29,18.0
2020-07-30,16.0
2020-07-31,20.0
2020-08-01,7.0
2020-08-02,15.0
2020-08-03,9.0
2020-08-04,0.0
2020-08-05,25.0
2020-08-06,0.0
2020-08-07,0.0
