,new_deaths
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,2.0
2020-02-27,0.0
2020-02-28,2.0
2020-02-29,1.0
2020-03-01,3.0
2020-03-02,3.0
2020-03-03,3.0
2020-03-04,2.0
2020-03-05,4.0
2020-03-06,6.0
2020-03-07,1.0
2020-03-08,4.0
2020-03-09,4.0
2020-03-10,2.0
2020-03-11,6.0
2020-03-12,8.0
2020-03-13,4.0
2020-03-14,9.0
2020-03-15,15.0
2020-03-16,21.0
2020-03-17,23.0
2020-03-18,32.0
2020-03-19,48.0
2020-03-20,69.0
2020-03-21,62.0
2020-03-22,146.0
2020-03-23,101.0
2020-03-24,234.0
2020-03-25,235.0
2020-03-26,319.0
2020-03-27,406.0
2020-03-28,544.0
2020-03-29,515.0
2020-03-30,589.0
2020-03-31,890.0
2020-04-01,1011.0
2020-04-02,1172.0
2020-04-03,1286.0
2020-04-04,1482.0
2020-04-05,1340.0
2020-04-06,1318.0
2020-04-07,2024.0
2020-04-08,2010.0
2020-04-09,2043.0
2020-04-10,2108.0
2020-04-11,2054.0
2020-04-12,1703.0
2020-04-13,1643.0
2020-04-14,2336.0
2020-04-15,2544.0
2020-04-16,2200.0
2020-04-17,2119.0
2020-04-18,1893.0
2020-04-19,1772.0
2020-04-20,1798.0
2020-04-21,2467.0
2020-04-22,2098.0
2020-04-23,1791.0
2020-04-24,1895.0
2020-04-25,1748.0
2020-04-26,1215.0
2020-04-27,1270.0
2020-04-28,2072.0
2020-04-29,2713.0
2020-04-30,2139.0
2020-05-01,1779.0
2020-05-02,1562.0
2020-05-03,1232.0
2020-05-04,1035.0
2020-05-05,2452.0
2020-05-06,1948.0
2020-05-07,2752.0
2020-05-08,1798.0
2020-05-09,1445.0
2020-05-10,1036.0
2020-05-11,892.0
2020-05-12,1486.0
2020-05-13,1704.0
2020-05-14,1879.0
2020-05-15,1507.0
2020-05-16,987.0
2020-05-17,849.0
2020-05-18,848.0
2020-05-19,1326.0
2020-05-20,1399.0
2020-05-21,1394.0
2020-05-22,1341.0
2020-05-23,1063.0
2020-05-24,680.0
2020-05-25,559.0
2020-05-26,645.0
2020-05-27,1321.0
2020-05-28,1231.0
2020-05-29,1184.0
2020-05-30,932.0
2020-05-31,652.0
2020-06-01,668.0
