,new_cases
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,1.0
2020-03-06,0.0
2020-03-07,3.0
2020-03-08,2.0
2020-03-09,5.0
2020-03-10,4.0
2020-03-11,9.0
2020-03-12,6.0
2020-03-13,20.0
2020-03-14,0.0
2020-03-15,48.0
2020-03-16,80.0
2020-03-17,89.0
2020-03-18,160.0
2020-03-19,315.0
2020-03-20,148.0
2020-03-21,437.0
2020-03-22,587.0
2020-03-23,930.0
2020-03-24,831.0
2020-03-25,727.0
2020-03-26,2474.0
2020-03-27,1949.0
2020-03-28,2299.0
2020-03-29,2262.0
2020-03-30,3250.0
2020-03-31,2060.0
2020-04-01,3559.0
2020-04-02,3335.0
2020-04-03,4305.0
2020-04-04,4229.0
2020-04-05,3381.0
2020-04-06,3585.0
2020-04-07,3326.0
2020-04-08,3021.0
2020-04-09,3590.0
2020-04-10,3561.0
2020-04-11,3563.0
2020-04-12,3699.0
2020-04-13,2734.0
2020-04-14,4240.0
2020-04-15,2206.0
2020-04-16,4287.0
2020-04-17,3150.0
2020-04-18,2953.0
2020-04-19,3881.0
2020-04-20,3505.0
2020-04-21,3581.0
2020-04-22,3478.0
2020-04-23,4124.0
2020-04-24,2207.0
2020-04-25,3327.0
2020-04-26,3515.0
2020-04-27,2150.0
2020-04-28,2668.0
2020-04-29,2408.0
2020-04-30,2388.0
2020-05-01,2538.0
2020-05-02,2527.0
2020-05-03,3027.0
2020-05-04,1525.0
2020-05-05,2324.0
2020-05-06,1297.0
2020-05-07,1745.0
2020-05-08,1819.0
2020-05-09,1631.0
2020-05-10,1447.0
2020-05-11,1413.0
2020-05-12,798.0
2020-05-13,817.0
2020-05-14,1144.0
2020-05-15,1201.0
2020-05-16,1184.0
2020-05-17,1245.0
2020-05-18,1705.0
2020-05-19,974.0
2020-05-20,1386.0
2020-05-21,1073.0
2020-05-22,1247.0
2020-05-23,385.0
2020-05-24,1050.0
2020-05-25,938.0
2020-05-26,672.0
2020-05-27,864.0
2020-05-28,1187.0
2020-05-29,1029.0
2020-05-30,764.0
2020-05-31,837.0
2020-06-01,473.0
2020-06-02,627.0
2020-06-03,523.0
2020-06-04,462.0
2020-06-05,806.0
2020-06-06,557.0
2020-06-07,271.0
2020-06-08,333.0
2020-06-09,299.0
2020-06-10,550.0
2020-06-11,470.0
2020-06-12,348.0
2020-06-13,441.0
2020-06-14,276.0
2020-06-15,222.0
2020-06-16,323.0
2020-06-17,277.0
2020-06-18,404.0
2020-06-19,389.0
2020-06-20,338.0
2020-06-21,308.0
2020-06-22,273.0
2020-06-23,319.0
2020-06-24,158.0
2020-06-25,304.0
2020-06-26,388.0
2020-06-27,289.0
2020-06-28,309.0
2020-06-29,90.0
2020-06-30,395.0
2020-07-01,261.0
2020-07-02,428.0
2020-07-03,386.0
2020-07-04,291.0
2020-07-05,369.0
2020-07-06,209.0
2020-07-07,267.0
2020-07-08,161.0
2020-07-09,201.0
2020-07-10,388.0
2020-07-11,331.0
2020-07-12,339.0
2020-07-13,224.0
2020-07-14,393.0
2020-07-15,363.0
2020-07-16,223.0
2020-07-17,50.0
2020-07-18,263.0
2020-07-19,0.0
2020-07-20,180.0
2020-07-21,293.0
2020-07-22,389.0
2020-07-23,242.0
2020-07-24,458.0
2020-07-25,513.0
2020-07-26,505.0
2020-07-27,449.0
2020-07-28,483.0
2020-07-29,471.0
2020-07-30,204.0
2020-07-31,690.0
2020-08-01,369.0
2020-08-02,321.0
2020-08-03,264.0
2020-08-04,356.0
2020-08-05,357.0
2020-08-06,374.0
2020-08-07,360.0
2020-08-08,368.0
2020-08-09,344.0
2020-08-10,258.0
2020-08-11,444.0
2020-08-12,463.0
2020-08-13,656.0
2020-08-14,570.0
2020-08-15,278.0
2020-08-16,13.0
2020-08-17,312.0
2020-08-18,331.0
2020-08-19,329.0
2020-08-20,100.0
2020-08-21,290.0
2020-08-22,419.0
2020-08-23,258.0
2020-08-24,225.0
2020-08-25,302.0
2020-08-26,285.0
2020-08-27,307.0
2020-08-28,358.0
2020-08-29,349.0
2020-08-30,291.0
2020-08-31,349.0
2020-09-01,330.0
2020-09-02,0.0
