,new_deaths
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,1.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,1.0
2020-03-16,0.0
2020-03-17,2.0
2020-03-18,3.0
2020-03-19,6.0
2020-03-20,3.0
2020-03-21,6.0
2020-03-22,7.0
2020-03-23,11.0
2020-03-24,20.0
2020-03-25,21.0
2020-03-26,27.0
2020-03-27,32.0
2020-03-28,51.0
2020-03-29,26.0
2020-03-30,49.0
2020-03-31,98.0
2020-04-01,111.0
2020-04-02,205.0
2020-04-03,136.0
2020-04-04,242.0
2020-04-05,126.0
2020-04-06,150.0
2020-04-07,297.0
2020-04-08,338.0
2020-04-09,267.0
2020-04-10,285.0
2020-04-11,323.0
2020-04-12,240.0
2020-04-13,164.0
2020-04-14,411.0
2020-04-15,409.0
2020-04-16,421.0
2020-04-17,364.0
2020-04-18,286.0
2020-04-19,171.0
2020-04-20,208.0
2020-04-21,414.0
2020-04-22,343.0
2020-04-23,332.0
2020-04-24,279.0
2020-04-25,280.0
2020-04-26,102.0
2020-04-27,139.0
2020-04-28,428.0
2020-04-29,349.0
2020-04-30,480.0
2020-05-01,336.0
2020-05-02,225.0
2020-05-03,155.0
2020-05-04,62.0
2020-05-05,341.0
2020-05-06,321.0
2020-05-07,264.0
2020-05-08,170.0
2020-05-09,177.0
2020-05-10,151.0
2020-05-11,60.0
2020-05-12,212.0
2020-05-13,202.0
2020-05-14,252.0
2020-05-15,197.0
2020-05-16,114.0
2020-05-17,110.0
2020-05-18,83.0
2020-05-19,152.0
2020-05-20,168.0
2020-05-21,102.0
2020-05-22,148.0
2020-05-23,99.0
2020-05-24,54.0
2020-05-25,15.0
2020-05-26,52.0
2020-05-27,151.0
2020-05-28,67.0
2020-05-29,135.0
2020-05-30,106.0
2020-05-31,67.0
2020-06-01,26.0
2020-06-02,52.0
2020-06-03,112.0
2020-06-04,95.0
2020-06-05,82.0
2020-06-06,58.0
