,total_tests,total_cases,total_deaths,new_tests,new_cases,new_deaths
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-22,2.0,2.0,0.0,2.0,2.0,0.0
2020-01-23,2.0,2.0,0.0,0.0,0.0,0.0
2020-01-24,2.0,2.0,0.0,0.0,0.0,0.0
2020-01-25,2.0,2.0,0.0,0.0,0.0,0.0
2020-01-26,2.0,2.0,0.0,0.0,0.0,0.0
2020-01-27,2.0,2.0,0.0,0.0,0.0,0.0
2020-01-28,2.0,2.0,0.0,0.0,0.0,0.0
2020-01-29,3.0,3.0,0.0,1.0,1.0,0.0
2020-01-30,3.0,3.0,0.0,0.0,0.0,0.0
2020-01-31,3.0,3.0,0.0,0.0,0.0,0.0
2020-02-01,4.0,4.0,0.0,1.0,1.0,0.0
2020-02-02,6.0,6.0,0.0,2.0,2.0,0.0
2020-02-03,7.0,7.0,0.0,1.0,1.0,0.0
2020-02-04,8.0,8.0,0.0,1.0,1.0,0.0
2020-02-05,8.0,8.0,0.0,0.0,0.0,0.0
2020-02-06,11.0,11.0,0.0,3.0,3.0,0.0
2020-02-07,12.0,12.0,0.0,1.0,1.0,0.0
2020-02-08,13.0,13.0,0.0,1.0,1.0,0.0
2020-02-09,13.0,13.0,0.0,0.0,0.0,0.0
2020-02-10,16.0,16.0,0.0,3.0,3.0,0.0
2020-02-11,17.0,17.0,0.0,1.0,1.0,0.0
2020-02-12,18.0,18.0,0.0,1.0,1.0,0.0
2020-02-13,18.0,18.0,0.0,0.0,0.0,0.0
2020-02-14,21.0,21.0,0.0,3.0,3.0,0.0
2020-02-15,28.0,28.0,0.0,7.0,7.0,0.0
2020-02-16,35.0,35.0,0.0,7.0,7.0,0.0
2020-02-17,50.0,50.0,0.0,15.0,15.0,0.0
2020-02-18,59.0,59.0,0.0,9.0,9.0,0.0
2020-02-19,69.0,69.0,0.0,10.0,10.0,0.0
2020-02-20,82.0,82.0,0.0,13.0,13.0,0.0
2020-02-21,93.0,93.0,0.0,11.0,11.0,0.0
2020-02-22,106.0,106.0,0.0,13.0,13.0,0.0
2020-02-23,122.0,122.0,0.0,16.0,16.0,0.0
2020-02-24,148.0,148.0,0.0,26.0,26.0,0.0
2020-02-25,179.0,179.0,0.0,31.0,31.0,0.0
2020-02-26,208.0,208.0,2.0,29.0,29.0,2.0
