,new_deaths
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,1.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,1.0
2020-03-16,0.0
2020-03-17,1.0
2020-03-18,2.0
2020-03-19,4.0
2020-03-20,2.0
2020-03-21,5.0
2020-03-22,4.0
2020-03-23,7.0
2020-03-24,17.0
2020-03-25,18.0
2020-03-26,19.0
2020-03-27,27.0
2020-03-28,32.0
2020-03-29,21.0
2020-03-30,37.0
2020-03-31,69.0
2020-04-01,88.0
2020-04-02,182.0
2020-04-03,109.0
2020-04-04,200.0
2020-04-05,71.0
2020-04-06,86.0
2020-04-07,229.0
2020-04-08,272.0
2020-04-09,196.0
2020-04-10,232.0
2020-04-11,251.0
2020-04-12,167.0
2020-04-13,93.0
2020-04-14,362.0
2020-04-15,351.0
2020-04-16,362.0
2020-04-17,322.0
2020-04-18,230.0
2020-04-19,132.0
2020-04-20,175.0
2020-04-21,376.0
2020-04-22,310.0
2020-04-23,305.0
2020-04-24,249.0
2020-04-25,246.0
2020-04-26,75.0
2020-04-27,106.0
2020-04-28,398.0
2020-04-29,328.0
2020-04-30,458.0
2020-05-01,310.0
2020-05-02,204.0
2020-05-03,129.0
2020-05-04,39.0
2020-05-05,334.0
2020-05-06,305.0
2020-05-07,252.0
2020-05-08,151.0
2020-05-09,164.0
2020-05-10,139.0
2020-05-11,55.0
2020-05-12,198.0
2020-05-13,194.0
2020-05-14,244.0
2020-05-15,192.0
2020-05-16,111.0
2020-05-17,107.0
2020-05-18,79.0
2020-05-19,151.0
2020-05-20,161.0
2020-05-21,96.0
2020-05-22,142.0
2020-05-23,96.0
2020-05-24,52.0
2020-05-25,11.0
2020-05-26,47.0
2020-05-27,148.0
2020-05-28,62.0
2020-05-29,130.0
2020-05-30,103.0
2020-05-31,64.0
2020-06-01,23.0
2020-06-02,49.0
2020-06-03,110.0
2020-06-04,90.0
2020-06-05,79.0
2020-06-06,57.0
2020-06-07,70.0
2020-06-08,38.0
2020-06-09,89.0
2020-06-10,74.0
2020-06-11,66.0
2020-06-12,46.0
2020-06-13,100.0
2020-06-14,36.0
2020-06-15,51.0
2020-06-16,51.0
2020-06-17,42.0
2020-06-18,31.0
2020-06-19,35.0
2020-06-20,22.0
2020-06-21,13.0
2020-06-22,25.0
2020-06-23,54.0
2020-06-24,46.0
2020-06-25,1877.0
2020-06-26,42.0
2020-06-27,34.0
2020-06-28,27.0
2020-06-29,17.0
2020-06-30,43.0
2020-07-01,43.0
2020-07-02,29.0
2020-07-03,57.0
2020-07-04,25.0
2020-07-05,22.0
2020-07-06,18.0
2020-07-07,52.0
2020-07-08,142.0
2020-07-09,25.0
2020-07-10,31.0
2020-07-11,46.0
2020-07-12,16.0
2020-07-13,19.0
2020-07-14,22.0
2020-07-15,25.0
2020-07-16,58.0
2020-07-17,19.0
2020-07-18,15.0
2020-07-19,7.0
2020-07-20,9.0
2020-07-21,22.0
2020-07-22,0.0
2020-07-23,23.0
2020-07-24,35.0
2020-07-25,11.0
2020-07-26,11.0
2020-07-27,17.0
2020-07-28,21.0
2020-07-29,0.0
2020-07-30,11.0
2020-07-31,10.0
2020-08-01,11.0
2020-08-02,6.0
2020-08-03,10.0
2020-08-04,11.0
2020-08-05,0.0
2020-08-06,7.0
